,Story,Images,Source
Cancer research UK,,,
British Heart Foundation,,,
British Heart Foundation,,,
British Heart Foundation,,,
British Heart Foundation,,,
Macmillan Cancer support,,,
Macmillan Cancer support,"When Dave was diagnosed with prostate cancer it came as a huge shock. Loneliness was particularly difficult to deal with, as Dave had lost his wife to cancer in 2008. 

Thankfully, Gill, a Macmillan nurse, was there to support him from the point of diagnosis onwards.

‘Gill helped me through the most difficult period of my life. How can you quantify the support of someone who has listened to you when you’ve been down, who’s listened to you when you’ve been excited, and who has kept in touch to make sure that everything is going okay, and given you all the encouragement and help you need, whenever and however often you need it? She’s just an amazing lady.’ 

Dave also greatly valued the help he received from the Macmillan Support Line and Online Community. These vital sources of support helped him put things in perspective and get answers to his questions.

‘All of it helped because you know you’re not on your own. I shudder to think where I’d be without Macmillan.’",,p16-17 of 2015 accounts: http://apps.charitycommission.gov.uk/Accounts/Ends17/0000261017_AC_20151231_E_C.pdf
Oxfam,,,
Red Cross,,,
Red Cross,,,
Sightsavers/Royal Commonwealth Society for the Blind,,,
Sightsavers/Royal Commonwealth Society for the Blind,,,
Sightsavers/Royal Commonwealth Society for the Blind,,,
Sightsavers/Royal Commonwealth Society for the Blind,,,
Sightsavers/Royal Commonwealth Society for the Blind,,,
Royal National Lifeboat Institution (RNLI),,,
Salvation Army,,,
Save the Children,,,
Save the Children,,,
NSPCC (National Society for the Prevention of Cruelty to Children),,,
NSPCC (National Society for the Prevention of Cruelty to Children),,,
NSPCC (National Society for the Prevention of Cruelty to Children),,,
NSPCC (National Society for the Prevention of Cruelty to Children),,,
NSPCC (National Society for the Prevention of Cruelty to Children),,,
NSPCC (National Society for the Prevention of Cruelty to Children),,,
Solar Aid,,,
Solar Aid,,,
DUY-DER,,,
Halo Trust,,,
Cleared ground demining,,,
MAG (Mines Advisory Group),,,
MAG (Mines Advisory Group),,,
World Vision,,,
World Vision,,,
The Arts Council of England,,,
The Arts Council of England,,,
The Arts Council of England,,,
British Council,,,
Plan international,,,
Plan international,,,
Plan international,,,
Care,,,
Great Ormond Street Hospital Childrens Charity,,,
Great Ormond Street Hospital Childrens Charity,,,
Barnardos,,,
Barnardos,,,
Barnardos,"Barnardo’s provides support to children with families experiencing a range of adversities, for example young carers.

Young carers help look after a member of the family who is sick, disabled or has mental health problems, or is misusing drugs or alcohol. Their day to day responsibilities often include cooking, cleaning, shopping, providing nursing and personal care and giving emotional support.

With so many adult responsibilities, young carers often miss out on opportunities that other children have to play and learn. Many struggle educationally and are often bullied for being ‘different’. They can become isolated, with no relief from the pressures at home. They are often afraid to ask for help as they fear letting the family down or being taken into care.

Barnardo’s runs services across the UK to help young carers and their families find the support they need, and are entitled to, from local services, so that a child’s caring responsibilities can be reduced. We support them to use local services such as sports clubs, support groups, and health centres. We provide advice and emotional support through counselling and drop-in sessions, and liaise with schools so that teachers can better support their students. We also provide opportunities for young carers to take a break from their caring responsibilities, spend time with other young carers and share experiences.",,
Marie Curie (formerly Marie Curie Cancer care),,,
Marie Curie (formerly Marie Curie Cancer care),,,
Marie Curie (formerly Marie Curie Cancer care),,,
Marie Curie (formerly Marie Curie Cancer care),"Aisha’s story
At the end of their life, people should
have the choice to stay at home
where they’re comfortable – with
their loved ones around them.
Our nurses bring comfort
through the hardest times
Aisha’s father-in-law Mohammed
was diagnosed with interstitial
lung disease two years ago. Our
nurses cared for him at home in
the final months of his life.
“The extraordinary commitment
the Marie Curie Nurses showed
Dad is beyond words. He was cared
for with love, dignity and respect.
Having a nurse there meant Mum
could finally get some sleep.
“He was an amazing, strong man
– an angel taken from us far too
soon.
“We very much appreciate that
Dad’s last days were spent at home
with his family, and that wouldn’t
have been possible without the
support and care he had at home
from Marie Curie Nurses.”",,
Marie Curie (formerly Marie Curie Cancer care),,,
Marie Curie (formerly Marie Curie Cancer care),,,
Marie Curie (formerly Marie Curie Cancer care),,,
Marie Curie (formerly Marie Curie Cancer care),,,
Marie Curie (formerly Marie Curie Cancer care),,,
RSPB - Royal Society for the Protection of Birds,,,
Comic Relief (Officially Charity projects),,,
RSPCA,,,
Royal British Legion,,,
Smile train,,,
Christian Aid,,,
Concern Worldwide,,,
PDSA (People's Dispensary for Sick Animals),,,
Christian Aid,,,
St John Ambulance,,,
Dogs Trust,,,
Islamic Relief,,,
Islamic Relief,,,
Islamic Relief,,,
Islamic Relief,,,
Islamic Relief,,,
Islamic Relief,,,
Islamic Relief,,,
Islamic Relief,,,
Islamic Relief,,,
Islamic Relief,,,
Islamic Relief,,,
Islamic Relief,,,
Islamic Relief,,,
Actionaid,,,
Shelter,,,
Shelter,,,
Tearfund,,,
Stewardship services (UKET),,,
Victim Support,,,
Guide dogs for the blind association,,,
Guide dogs for the blind association,,,
Cafod (Catholic Agency for Overseas Development),,,
Make a wish foundation of America,,,
Midwest food bank,,,
Action against hunger USA,,,
Stroke association,,,
Help for Heroes,,,
Help for Heroes,,,
Help for Heroes,,,
Help for Heroes,,,
Help for Heroes,,,
Help for Heroes,,,
Help for Heroes,,,
Help for Heroes,,,
Help for Heroes,,,
Mind,,,
Mind,,,
Camfed,,,
Battersea dogs and cats home,,,
Crisis,,,
Fred Hollows Foundation,,,
Breakthrough breast cancer,,,
Breast Cancer Campaign,,,
Breast Cancer Now,,,
Samaritans,,,
Centrepoint,,,
Concern Worldwide (UK section),,,
Women for women international,"Beatrice is a widow raising five children, including two girls and three boys. “I heard about Women for Women from my sister who graduated from the programme six years ago. She encouraged me to join, and to make sure that I participated fully, in order to reap the full benefit of the programme.”

Beatrice has a plot of land that she farms, which provides the main source of food for her family. “I only sell produce after taking care of my family’s needs. Before the programme, I did not have any other source of income, and my circumstances were very difficult. Things got worse when a man in my village contested my ownership of the piece of land,” says Beatrice.

“Through the trainings, I summoned up the courage to settle the matter of land ownership.” Beatrice took her case to the local court. “I made my case, and presented my ownership documents for the land as proof that I was the rightful owner. That very day the case was resolved and the land was confirmed as mine. The man who tried to contest my land was told to stay away from it. I found my courage and my voice, and today, I remain the owner of the land.”

Beatrice grows palm trees and other crops on her land, and she plans to continue to use what she harvests to support her family. “I am happy that I got back both my land and the palms that grow on it. They will continue to feed my family and help me to earn some money,” says Beatrice.",http://www.womenforwomen.org.uk/what-we-do/stories/my-name-beatrice,http://www.womenforwomen.org.uk/what-we-do/stories/my-name-beatrice
iDE,,,
Age International (linked to Age UK),,,
Make a wish UK,,,
War child UK,,,
Give Directly,,,
Fistula Foundation,,,
Womankind,,,
Womankind,,,
Bliss,,,
Bliss,,,
Bliss,,,
Bliss,,,
Bliss,,,
Bliss,,,
Bliss,,,
Bliss,,,
Comic Relief grant to VSO,,,
Beanstalk,,,
Spitalfields Crypt Trust,,,
Child bereavement UK,,,
Medicinema,,,
Grief encounter,,,
Depression Alliance,,,
Teach A Man to fish,,,
Educaid,,,
Switchback,,,
Sport 4 life UK,,,
Straight talking,,,
Storybook Dads,,,
British Shalom-Salaam Trust,,,
Spark inside,,,
Sparkplug,,,
The Horse Course,,,
Strong Minds,,,
ETC,,,
True Volunteer Foundation,,,
Forty Hall Community Vineyard,,,
Petals,,,
Rethink,,,
BBC Children in Need,,,
Donkey Sanctuary,,,
Cats protection,,,
Pump Aid,,,
WaterAid,,,
Project healthy children,,,
Development Media International,,,
Evidence action,,,
       Deworm the World,,,
       Dispensers Safe Water,,,
       Beta,,,
Innovations for Poverty Action,,,
Iodine Global Network,,,
Living Goods,,,
PSI,,,
Possible Health,,,
Schistosomiasis Control Initiative,,,
Seva International,,,
Action West London,,,
Faiths Forum for London,,,
Artbox London,,,
Freightliners Farm,,,
Down's syndrome association,,,
Down's syndrome association,,,
